code,name,score,address,latitude,longitude,borough
K486,The Christa McAuliffe SchoolI.S. 187,None,1171 65 STREET,40.6275072,-74.0040163,BROOKLYN
X423,THE CINEMA SCHOOL,None,1551 EAST 172ND STREET,40.8316935,-73.8774638,BRONX
M827,The College Bridge,None,500 8 AVENUE,40.7529216,-73.9926258,MANHATTAN
K450,The High School for Enterprise Business and Techn,None,850 GRAND STREET,40.712028,-73.939351,BROOKLYN
R880,The Michael J. Petrides School,None,715 OCEAN TERRACE,40.6085151,-74.1052026,STATEN ISLAND
X143,The New School for Leadership and Journalism,None,120 WEST 231 STREET,40.875627,-73.901568,BRONX
R722,THE RICHARD H. HUNGERFORD SCHOOL,None,155 TOMPKINS AVENUE,40.6207677,-74.0772082,STATEN ISLAND
K390,The School of Integrated Learning,None,1224 PARK PLACE,40.6726919,-73.9368714,BROOKLYN
X234,The School of Science and Applied Learning,None,2050 PROSPECT AVENUE,40.8459309,-73.8876404,BRONX
M043,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,None,509 WEST 129 STREET,40.8151196,-73.9549462,MANHATTAN
M877,The Urban Assembly New York Harbor School,None,10 South Street slip 7,40.7041461,-74.0087148,MANHATTAN
X074,The Vida Bogart School for All Children,None,730 BRYANT AVENUE,40.8155695,-73.8855307,BRONX
M970,Thurgood Marshall Academy for Learning and Social,None,200-214 WEST 135TH STREET,40.8152968,-73.9443043,MANHATTAN
M371,Thurgood Marshall Academy Lower School,None,276 WEST 151ST STREET,40.8259644,-73.937942,MANHATTAN
Q515,Townsend Harris High School,None,149-11 MELBOURNE AVENUE,40.735017,-73.821339,OUEENS
M897,Unity Center for Urban Technologies,None,121 SIXTH AVENUE,40.7240603,-74.0051128,MANHATTAN
X470,University Heights Secondary School,None,701 ST. ANNS AVENUE,40.8181071,-73.9114331,BRONX
M446,University Neighborhood High School,None,200 MONROE STREET,40.7122569,-73.9840313,MANHATTAN
M480,Urban Academy Laboratory High School,None,317 EAST  67 STREET,40.7653683,-73.9596962,MANHATTAN
X790,Urban Assembly School for Careers in Sports,None,730 CONCOURSE VILLAGE WEST,40.8225762,-73.9236546,BRONX
X970,Validus Preparatory Academy: An Expeditionary Lear,None,1595 BATHGATE AVENUE,40.8394126,-73.9019033,BRONX
M263,Washington Heights Academy,None,202 SHERMAN AVE,40.8654902,-73.9215724,MANHATTAN
K781,West Brooklyn Community High School,None,1053 41ST STREET,40.6427052,-73.9927189,BROOKLYN
K580,Westinghouse Evening Hs T/R,None,105 JOHNSON STREET,40.6956553,-73.985831,BROOKLYN
K650,Williamsburg Preparatory School,None,257 NORTH  6 STREET,38.6604477,-90.1671407,BROOKLYN
X879,Wings Academy,None,1122 EAST 180 STREET,40.8416248,-73.8751818,BRONX
K435,World Academy for Total Community Health High Scho,None,400 PENNSYLVANIA AVENUE,40.6676012,-73.8947915,BROOKLYN
M816,Yorkville Community School,None,323 East 91st Street,40.780653,-73.947854,MANHATTAN
X040,Young Leaders Elementary School,None,468 EAST 140 STREET,40.8092564,-73.9198088,BRONX
M895,Young Women's Leadership School,None,105 EAST 106 STREET,40.792935,-73.947168,MANHATTAN
Q739,Young Women's Leadership School Astoria,None,23-15 NEWTOWN AVENUE,40.7713192,-73.9241835,OUEENS
